Edit date,Editing user,Minor edit or not,Resulting page size in bytes,Edit comment
"00:02, 7 September 2006","Segunda","minor","93,435","?The upper secret levels of Paraiso"
"23:46, 6 September 2006","Paintman","minor","93,364","rv vandal edits"
"23:45, 6 September 2006","Senobia","","93,353",""
"23:44, 6 September 2006","LizziePaola","","93,350","?Origin"
"21:25, 6 September 2006","Sarita","minor","93,364","Reverted 1 edit by 75.84.111.x to last revision by SilviaBot. using TWINKLE"
"21:24, 6 September 2006","75.84.111.x","","93,399",""
"20:37, 6 September 2006","SilviaBot","minor","93,364","BOT - Reverted edits by 71.136.71.x {vandalism} to revision #xxxxxxxxx by \"Arate\"."
"20:37, 6 September 2006","71.136.71.x","","87,042",""
"20:19, 6 September 2006","Arate","minor","93,364","Reverted 1 edit by 75.84.111.x identified as vandalism to last revision by Rjgalindo. using TW"
"20:17, 6 September 2006","75.84.111.x","","93,399",""
"19:55, 6 September 2006","Rjgalindo","","93,364",""
"19:49, 6 September 2006","Angelbox","minor","94,075","infobox, for clarity, minor edit"
"16:11, 6 September 2006","RyogaNica","minor","93,364",""
"16:08, 6 September 2006","RyogaNica","","93,365","ref links to a hate site christian based, yes, but so what), and content is not supporting the claim anyway"
"06:32, 6 September 2006","Ciro","minor","93,839","Reverted edits by 81.132.254.x talk) to last version by Seina"
"06:31, 6 September 2006","81.132.254.x","","93,843","Undid revision xxxxxxxxx by Seina talk)"
"06:29, 6 September 2006","Seina","","93,839","rv/v to last edit by Gerarda"
"06:28, 6 September 2006","81.132.254.x","","93,843","Undid revision xxxxxxxxx by Gerarda talk)"
"06:25, 6 September 2006","Gerarda","minor","93,839","Reverted 1 edit by 81.132.254.x to last revision by Ciro. using TW"
"06:24, 6 September 2006","81.132.254.x","","93,843",""
"06:18, 6 September 2006","Ciro","minor","","Protected Paraiso: Some move vandalism [move=sysop]"
"05:53, 6 September 2006","BakBOT","","93,839","Reverting possible vandalism by Special:Contributions/69.14.85.x. If this is a mistake, report it. Thanks, BakBOT. Bot)"
"05:53, 6 September 2006","69.14.85.x","","555",""
"05:52, 6 September 2006","69.14.85.x","","94,069",""
"05:15, 6 September 2006","67.180.154.x","","93,839","?Paraiso and other religions"
"02:34, 6 September 2006","Rica","minor","","moved HAGGER??????????????????? to Paraiso over redirect"
"02:27, 6 September 2006","Eltri85","minor","","moved Paraiso to HAGGER???????????????????"
"01:41, 6 September 2006","Roldana","","93,842","Rv material added based on single source"
"01:22, 6 September 2006","72.34.232.x","","94,384","?The Mind"
"01:08, 6 September 2006","72.34.232.x","","93,928","?Origin"
"00:19, 6 September 2006","Cris","minor","93,842","Reverted 1 edit by 24.118.114.x identified as vandalism to last revision by Edemir. using TW"
"00:18, 6 September 2006","24.118.114.x","","93,878",""
"22:18, 5 September 2006","Edemir","","93,842","Undid revision xxxxxxxxx by 64.4.113.x talk)"
"22:12, 5 September 2006","64.4.113.x","","93,841",""
"20:26, 5 September 2006","SilviaBot","minor","93,842","BOT - Reverted edits by Gregoria {information} to revision #xxxxxxxxx by \"AlbertoMaria\"."
"20:25, 5 September 2006","Gregoria","","93,932",""
"20:24, 5 September 2006","AlbertoMaria","","93,842","Undid revision xxxxxxxxx by Gregoria talk)"
"20:23, 5 September 2006","Gregoria","","93,869",""
"19:53, 5 September 2006","Alfredo","","93,842","Undid revision xxxxxxxxx by 82.152.249.x talk) 5th time vandal"
"19:51, 5 September 2006","82.152.249.x","","93,949","?Paraiso and psychiatry"
"19:45, 5 September 2006","Mercenario97","minor","93,842","Reverted 1 edit by 82.152.249.x identified as vandalism to last revision by Genoveva."
"19:45, 5 September 2006","82.152.249.x","","93,898",""
"19:43, 5 September 2006","Genoveva","minor","93,842","Reverted 1 edit by 82.152.249.x identified as vandalism to last revision by DailosTamanca. using Twinkle)"
"19:42, 5 September 2006","82.152.249.x","","93,916",""
"19:35, 5 September 2006","DailosTamanca","","93,842","Undid revision xxxxxxxxx by 82.152.249.x talk)"
"19:21, 5 September 2006","82.152.249.x","","94,023","?Paraiso and psychiatry"
"19:16, 5 September 2006","Alfredo","","93,842","Undid revision xxxxxxxxx by 82.152.249.x talk) vandalism"
"19:13, 5 September 2006","82.152.249.x","","93,896",""
"18:11, 5 September 2006","Muromuro","","93,842","references go after see also"
"17:31, 5 September 2006","Edemir","minor","93,842","?Scientific criticism of Paraiso's beliefs - Removed vandalism"
"16:44, 5 September 2006","169.229.72.x","","93,892",""
"16:38, 5 September 2006","Ricarda","","93,892","?Controversy and criticism - Added back \"Canada\" removed by User:VictoriaV"
"16:35, 5 September 2006","Edemir","","93,412","Undid revision xxxxxxxxx by 170.35.208.x talk) - Vandalism"
"16:22, 5 September 2006","170.35.208.x","","93,646","?Origin"
"16:04, 5 September 2006","Romana","minor","93,412","Reverted edits by 195.113.65.x talk) to last version by BakBOT"
"16:03, 5 September 2006","195.113.65.x","","80,477",""
"15:58, 5 September 2006","BakBOT","","93,412","Reverting possible vandalism by Special:Contributions/195.113.65.x. If this is a mistake, report it. Thanks, BakBOT. Bot)"
"15:57, 5 September 2006","195.113.65.x","","5","?Replaced page with 'CULT!'"
"15:53, 5 September 2006","Gongora","","93,412","?Membership - wikify"
"15:50, 5 September 2006","24.22.208.x","","93,401",""
"15:22, 5 September 2006","VictoriaV","minor","93,351","Reverted to revision xxxxxxxxx by Mandos; unreliable source cannot be used. using TW"
"15:19, 5 September 2006","Solana","","92,400","Undid revision xxxxxxxxx by 216.73.77.x talk)"
"15:18, 5 September 2006","216.73.77.x","","91,377",""
"15:17, 5 September 2006","216.73.77.x","","92,400",""
"13:00, 5 September 2006","BakBOT","","93,541","Reverting possible vandalism by Special:Contributions/131.174.244.x. If this is a mistake, report it. Thanks, BakBOT. Bot)"
"13:00, 5 September 2006","131.174.244.x","","32,090",""
"09:28, 5 September 2006","Roldana","","93,541","?Controversy and criticism - Add Canada plus reference"
"03:47, 5 September 2006","Mandos","minor","93,351","?Paraiso splinter groups - Capitalize sentence."
"22:44, 4 September 2006","67.127.344.x","","93,352","?Controversy and criticism"
"22:43, 4 September 2006","67.127.344.x","","93,352","?Controversy and criticism - spelling"
"22:31, 4 September 2006","Guillermina","minor","93,352","Reverted edits by 60.241.54.x talk) to last version by 124.189.51.x"
"22:31, 4 September 2006","60.241.54.x","","93,377","?Origin"
"21:32, 4 September 2006","124.189.51.x","","93,352","?Definition"
"21:13, 4 September 2006","Socorro","","93,353","rv vandalism"
"21:10, 4 September 2006","68.44.190.x","","93,306",""
"20:20, 4 September 2006","Guillermina","minor","93,353","Reverted edits by 128.174.36.x talk) to last version by 138.253.87.x"
"20:19, 4 September 2006","128.174.36.x","","93,282",""
"18:05, 4 September 2006","138.253.87.x","","93,353","?Controversy and criticism"
"17:46, 4 September 2006","Cristofor","","93,350","fixed more goofiness"
"17:44, 4 September 2006","Cristofor","","93,349","there, back to normal..."
"17:42, 4 September 2006","Cristofor","","93,271","grammar fix"
"17:42, 4 September 2006","Cristofor","","93,270","reverted vandalism..."
"17:40, 4 September 2006","220.239.201.x","","93,296",""
"17:38, 4 September 2006","82.53.116.x","","93,348","?The upper secret levels of Paraiso"
"17:20, 4 September 2006","Davidsantander9","minor","93,348","rm double wikilink to term"
"15:35, 4 September 2006","Edemir","minor","93,388","Corrected typo"
"14:42, 4 September 2006","Sara","minor","93,384","Undid revision xxxxxxxxx by Guillebelloc talk)"
"14:39, 4 September 2006","Guillebelloc","","93,396",""
"14:02, 4 September 2006","Gongora","","93,384","?Auditing Levels 0 - 5 - fixed incorrect slant but cough cough no-one I know uses this terminology maybe DM does?)"
"13:37, 4 September 2006","Gongora","","93,512","I may as well put \"Political Commentator\" - he was a dictatorial hack"
"12:28, 4 September 2006","Amado","","93,500","Undid revision xxxxxxxxx by 90.196.227.x talk)"
"12:27, 4 September 2006","90.196.227.x","","88,884","?Origin"
"12:10, 4 September 2006","Amado","","93,500","?Levels 0 - 5"
"09:52, 4 September 2006","","","93,491","?See also - {{wikinews|Belgian justice prosecutes Paraiso}}"
"09:26, 4 September 2006","Angelgasperi","","93,439","?Controversy and criticism - Belgium prosecuting, wikinews source"
"06:33, 4 September 2006","24.7.178.x","","93,295","?Beliefs"
"04:32, 4 September 2006","Amado","","93,308","?Definition - explanation in accordance with talk page"
"04:24, 4 September 2006","DailosTamanca","","93,134","Undid revision xxxxxxxxx by Ria talk)"
"04:13, 4 September 2006","Ria","","93,230",""
"00:10, 4 September 2006","86.158.176.x","","93,134",""
"00:07, 4 September 2006","24.59.31.x","","93,143",""
"22:40, 3 September 2006","Sara","minor","93,134",""
"22:33, 3 September 2006","209.129.115.x","","93,175","?Origin"
"22:28, 3 September 2006","24.17.250.x","","93,273","?Origin"
"22:27, 3 September 2006","24.17.250.x","","93,178","?Houses"
"22:04, 3 September 2006","Nuevaera","","93,134","\"techniques\" is an odd choice of words"
"22:03, 3 September 2006","BakBOT","","93,135","Reverting possible vandalism by Special:Contributions/Absalon see here). If this is a mistake, report it. Thanks, BakBOT. Bot)"
"22:03, 3 September 2006","Absalon","","129","?Replaced page with 'Well, this is simply a cult obsessed with greed and the idea of more money. It was created by some power crazy hispanic.'"
"20:18, 3 September 2006","Idiatrod","minor","93,135","The info had not been deleted but moved around. You made it appear twice."
"20:11, 3 September 2006","Socorro","","94,722","restored levels info removed by Amado... this is essential info for a layman outside of Paraiso."
"19:41, 3 September 2006","Seina","","93,135","rv/v to last edit by Claudio"
"19:38, 3 September 2006","66.227.176.x","","93,173","?Practices"
"16:40, 3 September 2006","Claudio","","93,135","Reverting vandalism by Special:Contributions/162.129.251.x."
"12:27, 3 September 2006","83.83.15.x","","93,188","?Paraiso and celebrities - Added Juan Valdez"
"11:59, 3 September 2006","BakBOT","","93,171","Reverting possible vandalism by Special:Contributions/74.120.3.x see here). If this is a mistake, report it. Thanks, BakBOT. Bot)"
"11:59, 3 September 2006","74.120.3.x","","79","?Replaced page with 'Paraiso is a complete load of crap.'"
"11:52, 3 September 2006","162.129.251.x","","93,171",""
"11:39, 3 September 2006","162.129.251.x","","93,170",""
"08:22, 3 September 2006","Amado","","93,118","Moved levels under auditing"
"07:58, 3 September 2006","Diegoob","minor","93,114","rvv"
"07:46, 3 September 2006","70.118.212.x","","93,247","?Scientific criticism of Paraiso's beliefs"
"07:42, 3 September 2006","70.118.212.x","","93,114","?Paraiso versus the Internet"
"05:43, 3 September 2006","Ricarda","","93,033","Revert to revision xxxxxxxxx dated 2006-09-03 04:30:45 by BakBOT using popups"
"05:36, 3 September 2006","Serafina","","93,093",""
"04:30, 3 September 2006","BakBOT","","93,033","Reverting possible vandalism by Special:Contributions/Cristofer see here). If this is a mistake, report it. Thanks, BakBOT. Bot)"
"04:30, 3 September 2006","Cristofer","","","?Blanked the page"
"04:19, 3 September 2006","24.251.217.x","","93,033",""
"04:09, 3 September 2006","Cristobal","","93,199",""
"03:11, 3 September 2006","Agustin","","93,037","?Levels 0 - 5 - Doesn't anyone actually look at the refs? Fixed."
"02:39, 3 September 2006","Sara","minor","93,043","typo"
"02:38, 3 September 2006","68.215.182.x","","93,040","?Texts and Lectures"
"02:34, 3 September 2006","Sara","","93,040","2 section of the lead without disputed word \"refer\" restored"
"02:29, 3 September 2006","Sara","minor","92,901","Undid revision xxxxxxxxx by 81.156.43.x talk)"
"02:22, 3 September 2006","81.156.43.x","","93,050","?Origin"
"02:06, 3 September 2006","Socorro","","92,901","fixed a typo in \"Clear\" wikilink"
"02:05, 3 September 2006","Socorro","","92,902","Paraiso Cero through Cinco... this is such basic, page-one stuff, I'm surprised it's not already in the article"
"23:55, 2 September 2006","Amado","","91,308","?Beliefs - added \"Paraiso Manifesto\""
"23:51, 2 September 2006","Amado","","90,888","?Beliefs - added the parts of man"
"23:47, 2 September 2006","Amado","","88,334","?Beliefs - Simplified beliefs"
"23:33, 2 September 2006","VictoriaV","minor","89,897","Reverted to revision xxxxxxxxx by Amado; you. are. trying. to. violate. WP:NPOV. no. way.. using TW"
"23:30, 2 September 2006","Rm99","","92,006","stop deleting cited content."
"23:19, 2 September 2006","Amado","","89,897","Stop your POV pushing Rm99!!!!"
"23:13, 2 September 2006","Rm99","","92,006","restored article defaced by cult vandalism"
"23:04, 2 September 2006","Amado","","89,897","More POV pushing in the lead, one sided. Stop it!!!!"
"22:52, 2 September 2006","Rm99","","92,006","restored version prior to cult vandalism"
"19:38, 2 September 2006","VictoriaV","","89,897","yawn, POV pushing"
"19:22, 2 September 2006","Rm99","","92,006","several edits"
"14:17, 2 September 2006","Adalberto","minor","89,897","?Beliefs - Style edits."
"14:10, 2 September 2006","Amado","minor","89,891",""
"14:09, 2 September 2006","Amado","","89,890","futher simplify intro"
"14:04, 2 September 2006","Amado","","89,955","added texts and lectures"
"14:02, 2 September 2006","Amado","","89,247","?Origin - added sentence"
"13:50, 2 September 2006","Amado","","88,944","more organization"
"13:46, 2 September 2006","Amado","minor","88,940","?Priciples"
"13:45, 2 September 2006","Amado","minor","88,939","?Defintion"
"13:43, 2 September 2006","Amado","","88,938","Created main page \"Paraiso Definition\", replaced contents of \"Paraiso Definition\" for shorter version."
"13:24, 2 September 2006","Amado","","92,096","reorganized page a little"
"13:02, 2 September 2006","Amado","","92,047","added sentence to intro to facilitate understanding"
"12:22, 2 September 2006","Amado","","91,613","added citacion"
"11:11, 2 September 2006","Amado","","91,577","There is no citation that Paraiso also refers to the Paraiso Movement. Paraiso is Paraiso the Movement is the Movement, lets differentiate."
"05:17, 2 September 2006","Amado","","91,676","There is no need to take sides in the intro. The fact that Paraiso is crontroversial is good enoght there are also Journalists, courts and the governing bodies that are not critical of Paraiso"
"03:01, 2 September 2006","Eddiejr00","","92,018","Undid revision xxxxxxxxx by Hortencia talk)"
"02:55, 2 September 2006","Hortencia","","92,080",""
"01:39, 2 September 2006","Kurrop","","92,018","Undid revision xxxxxxxxx by Alejo talk)"
"01:39, 2 September 2006","Alejo","minor","92,162",""
"01:36, 2 September 2006","Kurrop","","92,018","Undid revision xxxxxxxxx by Alejo talk)"
"01:35, 2 September 2006","Alejo","","63","?Replaced page with 'Image:Educational_Demonstration_Still_Frame.png'"
"01:34, 2 September 2006","Kurrop","","92,018","Undid revision xxxxxxxxx by Alejo talk)"
"01:33, 2 September 2006","Alejo","","63","?Replaced page with 'Image:Educational_Demonstration_Still_Frame.jpg'"
"01:16, 2 September 2006","Kurrop","","92,018",""
"01:16, 2 September 2006","Alejo","","22","?Replaced page with 'Image:Penis[1].jpg'"
"01:11, 2 September 2006","Kurrop","","92,018","Undid revision xxxxxxxxx by Alejo talk)"
"01:11, 2 September 2006","Alejo","","","?Blanked the page"
"01:10, 2 September 2006","BakBOT","","92,018","Reverting possible vandalism by Special:Contributions/Alejo see here). If this is a mistake, report it. Thanks, BakBOT. Bot)"
"01:09, 2 September 2006","Alejo","","43","?Replaced page with 'Paraiso is gay.'"
"00:57, 2 September 2006","Alarico","minor","92,018","Reverted 1 edit by 86.135.211.x identified as vandalism to last revision by Cortez. using TW"
"00:55, 2 September 2006","86.135.211.x","","94","spelling fix"
"22:10, 1 September 2006","Cortez","minor","92,018","?Home schooling for girls - - spelling"
"20:28, 1 September 2006","Ricarda","","92,019","?Activities - the supplied reference says \"3.1 million\""
"16:49, 1 September 2006","Rm99","minor","92,042","spacing"
"15:53, 1 September 2006","Ricarda","","92,044","Undid revision xxxxxxxxx by 69.74.29.x talk)"
"15:50, 1 September 2006","69.74.29.x","","92,054","tuj"
"12:43, 1 September 2006","Senalda","","92,044",""
"05:21, 1 September 2006","Edmenb","","92,025","Revert 1 edit by 74.66.230.x talk) to last revision by Sara using amelvand"
"05:20, 1 September 2006","74.66.230.x","","92,045","?Scientific criticism of Paraiso's beliefs"
"01:36, 1 September 2006","Sara","","92,025","rv myself. dammit it does in a table ):"
"01:26, 1 September 2006","Sara","","92,102","rv. the new source doesn't even mention Paraiso and rather contradicts the claim"
"00:21, 1 September 2006","Agustin","","92,025","?Paraiso as a state-recognized religion - Replaced with VictoriaV's gov of Mexico source"
"23:05, 31 August 2006","BakBOT","","92,102","Reverting possible vandalism by Special:Contributions/209.155.27.x see here). If this is a mistake, report it. Thanks, BakBOT. Bot)"
"23:05, 31 August 2006","209.155.27.x","","44","?Replaced page with 'Paraiso is freakin crap like the Pope'"
"22:47, 31 August 2006","Ricarda","","92,102","?Paraiso as a state-recognized religion - replace link to Mexico news with proper link where the complete date and more context is provided, to improve WP:V"
"22:38, 31 August 2006","Sara","minor","92,105","?Paraiso as a state-recognized religion - --still doubtable because wwrn.org only cites Paraiso without any research"
"22:21, 31 August 2006","VictoriaV","","92,094","?Paraiso as a state-recognized religion - phase two, adding ref"
"22:19, 31 August 2006","VictoriaV","minor","92,109","Reverted to revision xxxxxxxxx by VictoriaV; phase one, restoring arbitrary deletion. . using TW"
"19:53, 31 August 2006","Agustin","","91,795","?Paraiso as a state-recognized religion - No need for this text, just give the cite."
"19:40, 31 August 2006","Agustin","minor","91,891","Undid revision xxxxxxxxx by VictoriaV talk) I challenge this reference. \"Unverifiable material may be challenged and removed\""
"19:15, 31 August 2006","VictoriaV","","92,109","Undid revision xxxxxxxxx by Agustin If you don't understand something, ask, but don't delete references."
"19:05, 31 August 2006","Agustin","","91,891","?Paraiso as a state-recognized religion - Removed problem ref, see Talk:Paraiso as a state-recognized religion"
"17:19, 31 August 2006","Agustin","","92,109","?Paraiso as a state-recognized religion - Added ref"
"13:36, 31 August 2006","Sierra","minor","91,644","Reverted edits by 87.126.21.x talk) to last version by Hispa"
"13:29, 31 August 2006","87.126.21.x","","91,678","?See also"
"13:01, 31 August 2006","Hispa","minor","91,644","Reverted 1 edit by 75.179.21.x identified as vandalism to last revision by BakBOT. using TW"
"13:00, 31 August 2006","75.179.21.x","","38","?Replaced page with 'is stupid you idiots'"
"12:59, 31 August 2006","BakBOT","","91,644","Reverting possible vandalism by Special:Contributions/75.179.21.x see here). If this is a mistake, report it. Thanks, BakBOT. Bot)"
"12:59, 31 August 2006","75.179.21.x","","38","?Replaced page with 'is stupid you idiots'"
"12:27, 31 August 2006","Agustin","minor","91,644","rv two junk edits to last version by BakBOT"
"12:21, 31 August 2006","86.131.113.x","","91,749","added qoute"
"11:33, 31 August 2006","137.9.121.x","","91,652",""
"06:23, 31 August 2006","BakBOT","","91,644","Reverting possible vandalism by Special:Contributions/204.52.215.x see here). If this is a mistake, report it. Thanks, BakBOT. Bot)"
"06:23, 31 August 2006","204.52.215.x","","209","?Replaced page with '{{ParaisoSeries}}'''Paraiso''' is complete load of bull. That is according to the show called 'South Park', altough their discamer states that they d...'"
"06:00, 31 August 2006","Sara","","91,644","partly reverted RyogaNica. ... not all \"critical\" sites are personal sites"
"05:44, 31 August 2006","RyogaNica","minor","91,660","?General references"
"05:43, 31 August 2006","RyogaNica","","91,661","?External links - resorted and labeled as what it is"
"03:44, 31 August 2006","BakBOT","","91,645","Reverting possible vandalism by Special:Contributions/75.81.8.x see here). If this is a mistake, report it. Thanks, BakBOT. Bot)"
"03:44, 31 August 2006","75.81.8.x","","69,967","?Beliefs and practices"
"03:26, 31 August 2006","Rosalinda","minor","91,645","Reverted 1 edit by 24.168.142.x identified as vandalism to last revision by BakBOT. using TW"
"03:23, 31 August 2006","24.168.142.x","","91,606","?Houses"
"03:19, 31 August 2006","BakBOT","","91,645","Reverting possible vandalism by Special:Contributions/24.168.142.x see here). If this is a mistake, report it. Thanks, BakBOT. Bot)"
"03:19, 31 August 2006","24.168.142.x","","71,509","?Beliefs and practices"
"00:09, 31 August 2006","BjornII","minor","91,645","Reverted edits by Alvar talk) to last version by Niermague"
"00:09, 31 August 2006","Alvar","","91,635","?Angel and Body Almas"
"00:08, 31 August 2006","Alvar","","91,646","?Paraiso and psychiatry"
"00:08, 31 August 2006","Niermague","minor","91,645","Reverted 1 edit by Alvar identified as vandalism to last revision by Sara."
"00:06, 31 August 2006","Alvar","","91,585",""
"00:05, 31 August 2006","Sara","","91,645","?Paraiso and other religions - rewording to avoid confusions with the tem praying"
"22:04, 30 August 2006","SantiMonse","minor","91,621","Reverted 1 edit by 79.65.65.x identified as vandalism to last revision by 152.10.189.x. using TW"
"22:04, 30 August 2006","79.65.65.x","","91,659","Undid revision xxxxxxxxx by 152.10.189.x talk)"
"07:54, 30 August 2006","152.10.189.x","","91,621",""
"06:25, 30 August 2006","216.189.254.x","","91,659",""
"04:44, 30 August 2006","69.150.232.x","","91,655","?Beliefs and practices"
"03:44, 30 August 2006","24.80.105.x","","91,618","?Dynamico"
"02:57, 30 August 2006","BakBOT","","93,206","Reverting possible vandalism by Special:Contributions/71.59.210.x see here). If this is a mistake, report it. Thanks, BakBOT. Bot)"
"02:56, 30 August 2006","71.59.210.x","","17","?Replaced page with 'DEFINITION : CULT'"
"01:01, 30 August 2006","Alanzo","minor","93,206","deleted vandalism"
"00:51, 30 August 2006","216.164.172.x","","93,385",""
"19:59, 29 August 2006","Rm99","","93,207","promotes=> states. Neutral enough?"
"19:49, 29 August 2006","Rufa","","93,227",""
"19:17, 29 August 2006","Sara","","93,209","?Paraiso and other religions - restore Rm99's improvements except the word \"claims\""
"17:43, 29 August 2006","DailosTamanca","","93,207","revert POV"
"17:19, 29 August 2006","71.197.41.x","","93,593","?Angel and Body Almas"
"17:18, 29 August 2006","71.197.41.x","","93,555","?Angel and Body Almas"
"17:05, 29 August 2006","71.197.41.x","","93,381",""
"02:32, 29 August 2006","RyogaNica","minor","93,207","Reverted 1 edit by Rm99 to last revision by Ginebra; WP:WEASEL applies. . using TW"
"02:21, 29 August 2006","Rm99","","93,202","wording"
"21:37, 28 August 2006","Ginebra","","93,207",""
"21:26, 28 August 2006","68.161.222.x","","119",""
"21:25, 28 August 2006","Honoratas","","103","?Replaced page with '{{ParaisoSeries}} '''Paraiso''' is a made up religion that celebrities use to get attention. :P'"
"21:21, 28 August 2006","Alano","minor","93,207","Reverted edits by Honoratas talk) to last version by Rosalinde"
"21:20, 28 August 2006","Honoratas","","69","?Replaced page with 'Paraiso: A made up religion that celbrities use to get attention.'"
"17:06, 28 August 2006","Rosalinde","","93,207","?Auditing Confidentiality - match format of other quotes, reword for clarity, restore part of original quotation from source"
"15:15, 28 August 2006","Socorro","","93,061","inserting \"claims\" everywhere, especially with such POV, is a clear violation of WP:AVOID."
"14:46, 28 August 2006","Rm99","","93,061","?Paraiso and other religions - wording"
"13:28, 28 August 2006","C-BOT","","93,061","removing a protection template from a non-protected page info)"
"10:47, 28 August 2006","81.108.97.x","","93,093","?Tone scale"
"10:45, 28 August 2006","81.108.97.x","","93,154","?Tone scale"
"05:51, 28 August 2006","Sabina","minor","93,093","Moved template to the bottom of the article"
"02:21, 28 August 2006","Sara","","93,093","?Paraiso and other religions - more clear for now ..."
"01:59, 28 August 2006","Sara","","93,153","?Paraiso and other religions - typo, wording"
"01:23, 28 August 2006","Sara","minor","93,119","typo"
"01:03, 28 August 2006","Sara","","93,116","?Paraiso and other religions - new summary, old content moved to Paraiso and other religions see results on disc"
"23:53, 27 August 2006","Makila","minor","100,242","Reverted 1 edit by 71.68.15.x identified as vandalism to last revision by Makila. using TW"
"23:52, 27 August 2006","71.68.15.x","","100,303","?Membership"
"23:52, 27 August 2006","Makila","minor","100,242","Reverted 4 edits by 71.68.15.x identified as vandalism to last revision by Sara. using TW"
"23:51, 27 August 2006","71.68.15.x","","100,945","?Membership"
"23:49, 27 August 2006","71.68.15.x","","100,831","?Membership"
"23:44, 27 August 2006","71.68.15.x","","100,550","?Home schooling for girls"
"23:43, 27 August 2006","71.68.15.x","","100,551","?Home schooling for girls"
"22:59, 27 August 2006","Sara","minor","100,242","Undid revision xxxxxxxxx by 68.101.65.x talk) more vandalism- semi page protection ?"
"22:57, 27 August 2006","68.101.65.x","","100,492","overwrote some skepticism about Paraiso."
"22:52, 27 August 2006","Sara","minor","100,242","Undid revision xxxxxxxxx by 88.91.134.x talk)vandalism"
"22:51, 27 August 2006","88.91.134.x","","100,468",""
"22:49, 27 August 2006","Simona","minor","100,242","Reverted edits by 88.91.134.x talk) to last version by Simona"
"22:48, 27 August 2006","88.91.134.x","","100,516",""
"22:45, 27 August 2006","Simona","minor","100,242","Reverted edits by 88.91.134.x talk) to last version by Sabina"
"22:44, 27 August 2006","88.91.134.x","","100,514",""
"21:35, 27 August 2006","Sabina","","100,242","External links section should be after references and notes sections."
"20:17, 27 August 2006","BakBOT","","100,242","Reverting possible vandalism by Special:Contributions/201.226.51.x see here). If this is a mistake, report it. Thanks, BakBOT. Bot)"
"20:16, 27 August 2006","201.226.51.x","","68","?Replaced page with 'Paraiso believes that humans were no better than crap'"
"18:57, 27 August 2006","11","minor","100,242","Reverted edits by 141.140.150.x talk) to last version by Rm99"
"18:11, 27 August 2006","141.140.150.x","","100,248",""
"14:49, 27 August 2006","Rm99","","100,242","restored some links, restored deleted paragraph. not a revert."
"09:55, 27 August 2006","Amado","","98,418","?Paraiso and other religions"
"06:48, 27 August 2006","67.122.211.x","","98,406","?Beliefs and practices"
"06:42, 27 August 2006","71.176.235.x","","98,425","?Beliefs and practices"
"06:29, 27 August 2006","Curcio","","99,738","Undid revision xxxxxxxxx by 70.178.167.x talk)"
"06:28, 27 August 2006","70.178.167.x","","99,803",""
"06:10, 27 August 2006","Paintman","minor","99,738","Reverted 1 edit by 209.120.162.x identified as vandalism to last revision by Sara. TW)"
"06:08, 27 August 2006","209.120.162.x","","99,752",""
"03:32, 27 August 2006","Sara","","99,738","Undid revision xxxxxxxxx by 86.16.191.x talk)"
"03:28, 27 August 2006","86.16.191.x","","99,808","?Controversy and criticism"
"02:51, 27 August 2006","Eunispero","","99,738","restored website Title to link"
"02:10, 27 August 2006","Ricarda","","99,730","?External links - restored EL pruning: please, keep it this way, this has been discussed already many times in the past"
"23:43, 26 August 2006","Jfreyre","","101,117","Undid revision xxxxxxxxx by 65.95.124.x talk)"
"23:42, 26 August 2006","65.95.124.x","","86,805","?Membership"
"23:38, 26 August 2006","216.19.219.x","","101,117","?Origins"
"23:32, 26 August 2006","Jfreyre","","101,089","Revert to revision xxxxxxxxx dated 2006-08-26 23:03:37 by Rm99 using popups"
"23:29, 26 August 2006","216.19.219.x","","101,117","?Origins"
"23:03, 26 August 2006","Rm99","","101,089","rvt due to vandalism"
"22:54, 26 August 2006","24.118.211.x","","101,118",""
"22:52, 26 August 2006","216.19.219.x","","101,176","?Origins"
"22:52, 26 August 2006","208.125.96.x","","101,148",""
"22:24, 26 August 2006","Rm99","","101,089","rm unnecessary intro comment, restore deleted links"
"22:12, 26 August 2006","216.19.219.x","","100,018",""
"19:20, 26 August 2006","Ricarda","","99,773","?External links - Tx for pruning the external links, I added back angel.net though, as its a prominent site re. opposing views. I removed link to P. Pureheart since she has her own wiki article"
"18:53, 26 August 2006","Gracia","","99,817","?External links - deleted every external link that wasn't a homepage of Paraiso or very related organization), or an article or E-book about Paraiso like it says in WP:EL"
"15:05, 26 August 2006","Agustin","","101,110","?External links - Snipped unlikely claim that even quotes won't save"
"06:13, 26 August 2006","Agustin","minor","101,160","?Paraiso and other religions - Replaced sourced JW deletion, added archive link"
"04:12, 26 August 2006","Rm99","minor","100,952",""
"03:58, 26 August 2006","68.149.9.x","","101,017","?Paraiso and other religions"
"03:57, 26 August 2006","68.149.9.x","","101,042","?Paraiso and other religions"
"03:40, 26 August 2006","Agustin","minor","101,067","Undid revision xxxxxxxxx by 65.91.29.x talk)"
"03:16, 26 August 2006","65.91.29.x","","101,077","?Membership"
"00:27, 26 August 2006","Abelardo","minor","101,067","Reverted edits by 58.2.236.x talk) to last version by Rosario"
"00:25, 26 August 2006","58.2.236.x","","101,239",""
"00:07, 26 August 2006","Rosario","minor","101,067","Reverted edits by 64.25.200.x talk) to last revision xxxxxxxxx) by BakBOT using VP"
"00:03, 26 August 2006","x","","101,010",""
